"","FID","Property","Area","Status","Name","Old_name","RT_status","r_raster3","ARRIVE_MCP","POINT_X","POINT_Y","IPA","art_nat","Perimeter","Type","Purpose","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","Distance","Conversion","Maintenance"
"1223",46,"Anna Plains",0,"Dam","Addison Turkey Nest"," "," ",1223,0,-1118536.362,-2132896.068,0,1,0,2,"Artificial",23,28,23,36,25,36,39,41,41,50,66,36,22,24,34,17,56,35,24,30,204.618944,12006.928416,1847.06698432
"1256.1",47,"Anna Plains",0,"Dam","Ocean Turkey Nest"," "," ",1256,0,-1122027.923,-2130895.213,0,1,0,2,"Artificial",22,28,21,36,25,36,37,40,41,50,66,37,24,24,35,17,56,36,26,31,204.3732586,12006.5598879,1846.691085658
"1225.2",48,"Anna Plains",0,"Bore","Joseph Bore"," "," ",1225,0,-1109772.318,-2134864.019,0,1,0,1,"Artificial",21,28,20,36,24,35,37,40,42,49,63,37,24,24,35,16,56,35,27,32,202.7724379,12004.15865685,1844.241829987
"1224.3",49,"Anna Plains",0,"Bore","Widjub Bore"," "," ",1224,0,-1114568.814,-2136998.436,0,1,0,1,"Artificial",23,27,20,35,24,36,37,40,42,50,64,37,24,24,34,17,55,36,26,30,206.6594531,12009.98917965,1850.188963243
"1224.4",50,"Anna Plains",0,"Tank","Widjub Poly"," "," ",1224,0,-1114982.15,-2136828.656,0,1,0,1,"Artificial",23,27,20,35,24,36,37,40,42,50,64,37,24,24,34,17,55,36,26,30,206.6750363,12010.01255445,1850.212805539
"1223.1",51,"Anna Plains",0,"Dam","Deans Turkey Nest"," "," ",1223,0,-1119128.225,-2137131.271,0,1,0,2,"Artificial",23,28,23,36,25,36,39,41,41,50,66,36,22,24,34,17,56,35,24,30,208.6947555,12013.04213325,1853.302975915
"1223.2",52,"Anna Plains",0,"Dam","Jacks Turkey Nest"," "," ",1223,0,-1122570.316,-2135236.528,0,1,0,2,"Artificial",23,28,23,36,25,36,39,41,41,50,66,36,22,24,34,17,56,35,24,30,208.4960493,12012.74407395,1852.998955429
"1222",53,"Anna Plains",0,"Tank","Phoebe Poly"," "," ",1222,0,-1125729.351,-2133680.452,0,1,0,1,"Artificial",23,28,22,36,25,37,38,41,41,51,66,37,21,24,33,17,55,35,25,29,208.5409916,12012.8114874,1853.067717148
"1190",54,"Anna Plains",0,"Bore","Rocky Bore 1"," "," ",1190,0,-1116158.099,-2143101.918,0,1,0,1,"Artificial",23,27,23,35,25,36,38,41,41,50,65,36,23,24,34,17,56,35,25,30,212.8794438,12019.3191657,1859.705549014
"1190.1",55,"Anna Plains",0,"Tank","Links Concrete Tank"," "," ",1190,0,-1116243.786,-2142622.232,0,1,0,1,"Artificial",23,27,23,35,25,36,38,41,41,50,65,36,23,24,34,17,56,35,25,30,212.4761713,12018.71425695,1859.088542089
