ID,LONG,LAT,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
113,121,-20.45000076,20,24,17,31,26,45,38,47,42,47,53,40,21,32,43,23,53,28,29,35
114,121.0500031,-20.45000076,20,22,17,30,26,43,39,47,43,47,53,40,22,32,43,24,52,30,27,34
115,121.0999985,-20.45000076,19,22,17,27,25,43,38,48,42,47,51,40,22,32,42,24,53,30,27,34
116,121.1500015,-20.45000076,19,22,17,26,25,43,38,48,44,47,52,40,22,32,42,25,56,30,27,35
117,121.1999969,-20.45000076,20,22,17,26,24,43,38,49,43,46,50,40,22,33,42,25,57,29,28,34
118,121.25,-20.45000076,20,23,17,26,24,43,38,49,42,45,48,39,24,33,43,25,57,29,29,34
119,121.3000031,-20.45000076,20,23,17,26,24,44,36,49,44,45,50,39,24,33,42,25,57,30,29,36
120,121.3499985,-20.45000076,23,23,18,28,24,44,39,49,45,48,58,41,25,35,44,26,60,30,33,37
121,121.4000015,-20.45000076,23,24,18,31,25,45,41,51,44,54,62,44,29,35,46,28,64,32,36,38
122,121.4499969,-20.45000076,25,25,20,35,28,45,41,53,46,57,65,44,34,34,47,28,65,33,37,38
123,121.5,-20.45000076,24,29,23,38,30,49,44,57,48,59,69,44,36,36,47,24,69,36,37,42
124,121.5500031,-20.45000076,24,29,25,39,30,51,46,62,51,61,73,44,38,36,45,24,71,38,37,42
125,121.5999985,-20.45000076,23,28,27,39,31,51,48,64,51,64,75,44,37,36,47,24,72,38,39,42
126,121.6500015,-20.45000076,23,29,29,40,32,52,48,67,52,65,76,47,37,36,50,24,73,38,40,41
127,121.6999969,-20.45000076,24,29,30,42,33,53,51,68,53,65,76,47,38,37,53,23,76,39,41,41
128,121.75,-20.45000076,25,31,29,43,33,52,52,68,54,65,78,47,38,38,53,24,77,38,42,43
129,121.8000031,-20.45000076,25,31,29,44,35,53,50,67,54,65,78,46,37,38,53,24,77,38,43,42
130,121.8499985,-20.45000076,25,31,28,43,36,53,49,65,54,65,78,47,38,36,55,25,78,38,42,43
131,121.9000015,-20.45000076,25,32,27,43,36,53,48,65,54,65,79,48,38,37,55,26,77,37,43,44
132,121.9499969,-20.45000076,24,33,25,44,36,52,48,65,54,65,81,48,39,38,57,26,76,37,43,44
133,122,-20.45000076,25,34,25,43,37,53,48,63,54,65,80,47,39,38,57,26,75,36,43,46
134,122.0500031,-20.45000076,26,35,25,43,38,53,50,62,54,66,80,47,39,38,56,27,75,37,42,48
135,122.0999985,-20.45000076,27,33,25,43,38,54,50,62,54,66,81,48,40,39,57,28,75,37,43,48
136,122.1500015,-20.45000076,27,34,25,43,39,55,50,62,56,66,82,47,40,39,56,28,76,37,43,48
137,122.1999969,-20.45000076,26,34,25,42,39,54,51,63,55,66,81,47,40,38,56,29,76,37,43,47
138,122.25,-20.45000076,26,36,26,43,38,55,51,62,56,65,80,47,40,37,56,29,77,36,43,47
139,122.3000031,-20.45000076,26,38,26,43,38,55,51,62,56,65,80,47,40,37,57,28,78,36,43,48
140,122.3499985,-20.45000076,26,38,25,43,38,56,50,62,56,66,79,47,40,36,57,28,77,36,44,47
141,122.4000015,-20.45000076,26,38,24,43,38,56,50,61,57,67,79,47,39,35,57,27,75,36,45,47
