FID,Property,Area,Status,Name,Old_name,RT_status,r_raster3,ARRIVE_MCP,POINT_X,POINT_Y,IPA,art_nat,Perimeter,Type,Purpose
100,Frazier Downs,0, ,Kalyadajan Community,Dwelling, ,1522,0,-1090163.204,-2081981.023,0,1,0,1,Dwelling
101,Frazier Downs,0, ,Purrpurrngangjal Community,Dwelling, ,1600,0,-1088438.381,-2062452.934,0,1,0,1,Dwelling
102,Frazier Downs,0, ,Frazier Downs Community,Dwelling, ,1626,0,-1081513.243,-2054323.033,0,1,0,1,Dwelling
103,Frazier Downs,0, ,Kalyadajan Community,Dwelling, ,1655,0,-1062609.655,-2047606.535,0,1,0,1,Dwelling
104,Frazier Downs,0, ,Wanamuluyundeny Community,Dwelling, ,1655,0,-1063155.502,-2046703.548,0,1,0,1,Dwelling
105,Frazier Downs,0, ,Rollah Community,Dwelling, ,1651,0,-1082705.61,-2045429.069,0,1,0,1,Dwelling
106,Frazier Downs,0.68, ,La Grange,Dwelling, ,1676,0,-1074994.042,-2041022.588,0,1,0,1,Dwelling
107,Shamrock,0, ,Shamrock Homestead,Dwelling, ,1747,0,-1047802.815,-2024671.92,0,1,0,1,Dwelling
108,Frazier Downs,0, ,Pilingpiling Community,Dwelling, ,1765,0,-1070911.194,-2020813.18,0,1,0,1,Dwelling
109,Frazier Downs,0, ,Nygah Hygah Community,Dwelling, ,1766,0,-1061938.911,-2020100.816,0,1,0,1,Dwelling
110,Frazier Downs,0, ,Yardoogarra Community,Dwelling, ,1766,0,-1062310.972,-2015394.759,0,1,0,1,Dwelling
111,Thangoo,0, ,Barn Hill Caravan Park,Dwelling, ,1805,0,-1050401.264,-2003565.177,0,1,0,1,Dwelling
112,Thangoo,0, ,Eco Beach Resort,Dwelling, ,1822,0,-1046438.852,-1999466.589,0,1,0,1,Dwelling
113,Pardoo,0, ,Pardoo Roadhouse,Dwelling, ,615,0,-1265436.754,-2210493.854,0,1,0,1,Dwelling
114, ,0, ,80 Mile Beach Caravan Park,Dwelling, ,1024,0,-1180771.649,-2169158.55,0,1,0,1,Dwelling
115,Mandora,0, ,Mandora Homestead,Dwelling, ,1027,0,-1163133.548,-2166299.391,0,1,0,1,Dwelling
116,Nita Downs,0, ,Nita Downs Homestead,Dwelling, ,1498,0,-1082300.164,-2086301.605,0,1,0,1,Dwelling
117,Thangoo,0, ,Thangoo Homestead 1,Dwelling, ,1805,0,-1050442.113,-2003951.24,0,1,0,1,Dwelling
118,Thangoo,0, ,Thangoo unknown,Dwelling, ,1823,0,-1040356.357,-1996419.266,0,1,0,1,Dwelling
119,Thangoo,0, ,Thangoo unknown,Dwelling, ,1882,0,-1018684.006,-1980487.844,0,1,0,1,Dwelling
120,Thangoo,0, ,Thangoo Homestead 2,Dwelling, ,1904,0,-1007938.539,-1969395.14,0,1,0,1,Dwelling
121,Roebuck Plains,0, ,Roebuck Homestead,Dwelling, ,1928,1,-1008635.903,-1952218.909,0,1,0,1,Dwelling
122,Mandora,0, , ,WELL, ,1026,0,-1166734.794,-2167031.2,0,1,0,1,Artificial
123, ,0, , ,WELL, ,1495,0,-1098121.901,-2083102.45,0,1,0,1,Artificial
124,Frazier Downs,0, , ,WELL, ,1575,0,-1087895.656,-2069982.858,1,1,0,1,Artificial
125,Frazier Downs,0, , ,WELL, ,1576,0,-1079935.065,-2069322.634,1,1,0,1,Artificial
126,Frazier Downs,0, , ,WELL, ,1575,0,-1089765.99,-2066640.324,0,1,0,1,Artificial
127,Frazier Downs,0, , ,WELL, ,1601,0,-1084843.977,-2062967.936,1,1,0,1,Artificial
128,Frazier Downs,0, , ,WELL, ,1602,0,-1076620.704,-2061297.867,0,1,0,1,Artificial
129,Frazier Downs,0, , ,WELL, ,1601,0,-1081573.182,-2058477.421,0,1,0,1,Artificial
130,Frazier Downs,0, , ,WELL, ,1625,0,-1086333.051,-2053168.625,0,1,0,1,Artificial
131,Frazier Downs,0, , ,WELL, ,1628,0,-1072276.981,-2053272.943,0,1,0,1,Artificial
132,Frazier Downs,0, , ,WELL, ,1653,0,-1072451.006,-2048778.939,0,1,0,1,Artificial
133,Frazier Downs,0, , ,WELL, ,1652,0,-1079628.28,-2051164.886,0,1,0,1,Artificial
134,Frazier Downs,0, , ,WELL, ,1651,0,-1084164.44,-2051564.49,0,1,0,1,Artificial
135,Frazier Downs,0, , ,WELL, ,1651,0,-1086113.797,-2048600.96,0,1,0,1,Artificial
136,Frazier Downs,0, , ,WELL, ,1722,0,-1061855.911,-2026822.403,0,1,0,1,Artificial
137,Frazier Downs,0, , ,WELL, ,1745,0,-1058783.04,-2024735.648,0,1,0,1,Artificial
138,Roebuck,0,Tank, ,WELL,Tank,1926,1,-1019508.981,-1953955.554,0,1,0,1,Artificial
139, ,0, , ,WELL, ,1990,1,-1038491.321,-1927151.635,0,1,0,1,Artificial
140, ,0, , ,WELL, ,1962,1,-1036584.76,-1942322.768,0,1,0,1,Artificial
141, ,0, , ,WELL, ,325,0,-1205883.629,-2232761.809,0,1,0,1,Artificial
142, ,0, , ,WELL, ,381,0,-1304897.864,-2232437.914,0,1,0,1,Artificial
143, ,0, , ,WELL, ,532,0,-1302576.856,-2224216.426,0,1,0,1,Artificial
144, ,0, , ,WELL, ,753,0,-1310891.436,-2209467.134,0,1,0,1,Artificial
145, ,0, , ,WELL, ,529,2,-1317234.93,-2223576.171,0,1,0,1,Artificial
146, ,0, , ,WELL, ,603,0,-1321604.428,-2220848.943,0,1,0,1,Artificial
147, ,0, , ,WELL, ,603,0,-1325994.874,-2219704.164,0,1,0,1,Artificial
148, ,0, , ,WELL, ,751,0,-1324617.233,-2210829.064,0,1,0,1,Artificial
