FID,Property,Area,Status,Name,Old_name,RT_status,r_raster3,ARRIVE_MCP,POINT_X,POINT_Y,IPA,art_nat,Perimeter,Type,Purpose
494, ,0, , ,BORE, ,322,0,-1224946.545,-2234603.013,0,1,0,1,Artificial
495, ,0, , ,BORE, ,322,0,-1224698.595,-2235505.747,0,1,0,1,Artificial
496, ,0, , ,BORE, ,303,0,-1322794.092,-2239368.479,0,1,0,1,Artificial
497, ,0, , ,BORE, ,303,0,-1320157.984,-2240195.782,0,1,0,1,Artificial
498, ,0, , ,BORE, ,304,0,-1318925.302,-2241271.93,0,1,0,1,Artificial
499, ,0, , ,BORE, ,303,0,-1319730.318,-2242428.984,0,1,0,1,Artificial
500, ,0, , ,BORE, ,303,0,-1320400.997,-2242975.854,0,1,0,1,Artificial
501, ,0, , ,BORE, ,606,0,-1307248.475,-2214526.539,0,1,0,1,Artificial
502, ,0, , ,BORE, ,531,0,-1307308.261,-2222539.223,0,1,0,1,Artificial
503,Pardoo,0,Tank, ,BORE,Tank,614,0,-1269651.523,-2213891.873,0,1,0,1,Artificial
504, ,0, , ,DAM, ,306,0,-1307346.08,-2242913.126,0,1,0,1,Artificial
505, ,0, , ,DAM, ,531,0,-1306839.929,-2222775.621,0,1,0,1,Artificial
506, ,0, , ,DAM, ,606,0,-1307764.761,-2214401.825,0,1,0,1,Artificial
507,Nita Downs,0,Tank, ,DAM,Dam,1497,0,-1083494.137,-2086552.927,0,1,0,1,Artificial
508,Frazier Downs,0, , ,DAM, ,1651,0,-1083287.927,-2047226.749,0,1,0,1,Artificial
509,Shamrock,0,Dam, ,DAM,Dam,1631,0,-1055865.415,-2050008.196,0,1,0,2,Artificial
510,Shamrock,0,Dam, ,DAM,Dam,1749,0,-1036113.131,-2023010.71,0,1,0,2,Artificial
511, ,0, , ,DAM,Dam,1705,0,-1036908.668,-2033487.774,0,1,0,1,Artificial
512,Shamrock,0,Tank, ,DAM,Tank,1725,0,-1045451.679,-2029029.207,0,1,0,1,Artificial
513,Shamrock,0,Dam, ,DAM,Dam,1708,0,-1022373.689,-2034184.267,0,1,0,2,Artificial
514, ,0, , ,DAM, ,1661,0,-1025655.534,-2045286.516,0,1,0,1,Artificial
515,Shamrock,0,Dam, ,DAM,Dam,1730,0,-1021679.416,-2024119.112,0,1,0,2,Artificial
516,Shamrock,0,Dam, ,DAM,Dam,1610,0,-1030147.448,-2055234.59,0,1,0,2,Artificial
517,Shamrock,0,Dam, ,DAM,Dam,1584,0,-1039260.551,-2060704.189,0,1,0,2,Artificial
518,Shamrock,0,Dam, ,DAM,Dam,1606,0,-1053638.355,-2060850.649,0,1,0,2,Artificial
519,Roebuck,0,Dam, ,DAM,Dam,1930,1,-997152.5175,-1951912.146,0,1,0,2,Artificial
520,Roebuck,0,Tank, ,DAM,Tank,1957,1,-991838.4857,-1940517.832,0,1,0,1,Artificial
521,Roebuck,0,Dam, ,DAM,Dam,1929,1,-1000881.204,-1955717.423,0,1,0,2,Artificial
522,Roebuck,0,Dam, ,DAM,Dam,1929,1,-1003894.584,-1953210.512,0,1,0,2,Artificial
523,Roebuck,0,Dam, ,DAM,Dam,1927,1,-1009944.081,-1957101.036,0,1,0,2,Artificial
524,Roebuck,0,Dam, ,DAM,Dam,1941,1,-1006097.166,-1951299.602,0,1,0,2,Artificial
525,Roebuck,0,Dam, ,DAM,Dam,1915,1,-1008177.838,-1961096.594,0,1,0,2,Artificial
526, ,0, , ,DAM, ,2014,1,-984041.4236,-1919534.164,0,1,0,1,Artificial
527, ,0, , ,DAM, ,1964,1,-1029767.199,-1937490.003,0,1,0,1,Artificial
528,Pardoo,0,Chinamans Spring, ,NA,Chinamans Spri*,533,0,-1295122.188,-2218749.216,0,0,158,1,Natural
529,Pardoo,0,Banangarra Spring, ,NA,Banangarra Spr*,611,0,-1288263.09,-2216141.331,0,0,158,1,Natural
530,Wallal Downs,0, , ,NA,Salt lake,819,0,-1240723.144,-2201014.983,0,0,158,1,Natural
531,Wallal Downs,0, , ,NA,Salt lake,819,0,-1240313.124,-2201141.087,0,0,158,1,Natural
532,Wallal Downs,0, , ,NA,Salt lake,820,0,-1240062.812,-2200812.165,0,0,158,1,Natural
533,Anna Plains,0,Mandora Marsh, ,NA,Mandora Marsh,997,0,-1088697.314,-2164705.535,0,0,158,1,Natural
534,Anna Plains,0,Mandorah Marsh, ,NA,Mandorah Marsh,999,0,-1082257.457,-2167500.212,0,0,158,1,Natural
535,Anna Plains,0,Mandora Marsh, ,NA,Mandora Marsh,999,0,-1079601.626,-2164516.982,0,0,158,1,Natural
536,Anna Plains,0, Mannarie Marsh, ,NA, Mannarie Marsh,1496,0,-1090934.373,-2087658.196,0,0,158,1,Natural
537,Nita Downs,0, , ,NA,Spring,1335,0,-1039329.055,-2111857.465,0,0,158,1,Natural
538,Nita Downs,0, , ,NA,Spring,1305,0,-1035005.161,-2118084.257,0,0,158,1,Natural
539,Frazier Downs,0, , ,NA, ,1700,0,-1064214.341,-2033095.243,0,0,158,1,Natural
540,Frazier Downs,0, , ,NA, ,1627,0,-1075292.503,-2054352.441,0,0,158,1,Natural
541,Frazier Downs,0, Warreba Spring, ,NA, Warreba Spring,1549,0,-1086619.323,-2073706.009,0,0,158,1,Natural
542,Roebuck,0,Lake Eda, ,NA,Lake Eda,1944,1,-991328.9128,-1945874.203,0,0,158,1,Natural
543,Roebuck,0,Lake Eda, ,NA,Lake Eda,1944,1,-990250.748,-1945947.357,0,0,158,1,Natural
544,Wallal Downs,0,Road bore, , ,Road bore,472,0,-1224958.478,-2217977.289,0,1,0,1,Artificial
545,Wallal Downs,0,Road bore, , ,Road bore,822,0,-1226196.492,-2198562.309,0,1,0,1,Artificial
546,Wallal Downs,0,Road bore, , ,Road bore,822,0,-1226153.436,-2196703.78,0,1,0,1,Artificial
547,Wallal Downs,0,Road bore, , ,Road bore,825,0,-1210484.139,-2193624.577,0,1,0,1,Artificial
548,Wallal Downs,0,Road bore, , ,Road bore,881,0,-1196210.924,-2186463.493,0,1,0,1,Artificial
549,Wallal Downs,0,Road bore, , ,Road bore,980,0,-1178796.839,-2177701.063,0,1,0,1,Artificial
550,Thangoo,0,Road bore, , ,Road bore,1843,0,-1023208.928,-1991785.196,0,1,0,1,Artificial
551,Thangoo,0,Road bore, , ,Road bore,1843,0,-1018576.164,-1990591.885,0,1,0,1,Artificial
552,Thangoo,0,Road bore, , ,Road bore,1844,0,-1013099.621,-1988424.532,0,1,0,1,Artificial
553,Thangoo,0,Road bore, , ,Road bore,1873,0,-1006293.193,-1981388.295,0,1,0,1,Artificial
554,Thangoo,0,Road bore, , ,Road bore,1895,0,-998754.1908,-1973668.694,0,1,0,1,Artificial
555,Wallal Downs,0,Tank, ,NA,Tank,820,0,-1237614.788,-2195406.405,0,1,0,1,Artificial
556,Wallal Downs,0,Tank, ,NA,Tank,821,0,-1234238.61,-2194556.071,0,1,0,1,Artificial
557,Wallal Downs,0,Tank, ,NA,Tank,821,0,-1232063.128,-2192383.852,0,1,0,1,Artificial
558,Wallal Downs,0,Tank, ,NA,Tank,822,0,-1229390.828,-2192742.571,0,1,0,1,Artificial
559,Wallal Downs,0,Tank, ,NA,Tank,878,0,-1208352.73,-2183379.806,0,1,0,1,Artificial
560,Wallal Downs,0,Tank, ,NA,Tank,977,0,-1196042.66,-2177628.952,0,1,0,1,Artificial
561,Wallal Downs,0,Tank, ,NA,Tank,885,0,-1171073.442,-2186813.711,0,1,0,1,Artificial
562,Wallal Downs,0,Tank, ,NA,Tank,1026,0,-1170414.09,-2166768.349,0,1,0,1,Artificial
563,Nita Downs,0,Dam, ,NA,Dam,1417,0,-1073708.686,-2097092.74,0,1,0,2,Artificial
564,Nita Downs,0,Dam, ,NA,Dam,1389,0,-1070380.702,-2100984.609,0,1,0,2,Artificial
565,Nita Downs,0,Dam, ,NA,Dam,1359,0,-1071519.558,-2105693.024,0,1,0,2,Artificial
566,Anna Plains,0, , Anna Plains Homestead,Dwelling, ,1354,0,-1100839.303,-2106635.341,0,0,0,1,Dwelling
